Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,sm.badge_text (product.metafields.custom.sm_badge_text),sm.bundle_with	 (product.metafields.custom.sm_bundle_with),sm.duration (product.metafields.custom.sm_duration),sm.ingredients (product.metafields.custom.sm_ingredients),sm.intention (product.metafields.custom.sm_intention),sm.line	 (product.metafields.custom.sm_line),sm.notes (product.metafields.custom.sm_notes),sm.origin (product.metafields.custom.sm_origin),sm.quantity (product.metafields.custom.sm_quantity),sm.story_content (product.metafields.custom.sm_story_content),sm.story_title	 (product.metafields.custom.sm_story_title),sm.subtitle (product.metafields.custom.sm_subtitle),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Número de calificaciones del producto (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Material (product.metafields.shopify.material),Aroma (product.metafields.shopify.scent),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Chile,Price / Chile,Compare At Price / Chile,Status
sahumerio-perfum-premium-dulce-cacao,Sahumerio Perfum Premium Dulce Cacao,"<p>Envuelve tus espacios con una fragancia cálida, dulce y profundamente reconfortante. El <strong>Sahumerio Perfum Premium Dulce Cacao</strong> de Sagrada Madre está pensado para crear momentos de bienestar, contención y conexión emocional, transformando el ambiente en un refugio acogedor y armonioso.</p>
<p>Su aroma intenso y envolvente acompaña rituales de descanso, autocuidado y conexión interior, despertando sensaciones de calma, placer y cercanía emocional.</p>
<h3>🌸 Aroma protagonista</h3>
<p><strong>Dulce Cacao</strong><br>Una fragancia cálida y cremosa con notas dulces y profundas que generan una sensación acogedora, suave y emocionalmente reconfortante.</p>
<h3>💛 Beneficio emocional</h3>
<p>Ideal para acompañar momentos de calma, descanso y conexión contigo misma/o. Ayuda a crear una atmósfera cálida y segura, perfecta para bajar el ritmo y disfrutar el presente.</p>
<h3>✨ Intención</h3>
<p><strong>Contención · Calma · Bienestar · Disfrute</strong></p>
<h3>✅ Ideal para</h3>
<ul>
<li>Crear ambientes cálidos y acogedores.</li>
<li>Acompañar rituales de autocuidado y descanso.</li>
<li>Generar sensación de calma y bienestar emocional.</li>
<li>Momentos de journaling, lectura o meditación.</li>
<li>Transformar la energía del hogar en un espacio más armónico y confortable.</li>
</ul>
<h3>🏠 Recomendado para espacios como</h3>
<ul>
<li>Dormitorios y espacios de descanso.</li>
<li>Living y rincones acogedores.</li>
<li>Espacios de lectura, journaling o meditación.</li>
<li>Momentos de baño relajante o rutina nocturna.</li>
</ul>
<h3>🔥 Modo de uso</h3>
<p>Enciende la punta de la varilla, deja arder entre 5 y 10 segundos y luego apaga suavemente la llama. Colócala en un porta sahumerio y permite que el humo y la fragancia se expandan lentamente por el ambiente.</p>
<h3>✨ Ritual rápido sugerido</h3>
<p>Enciende el sahumerio, respira profundo tres veces y repite una intención simple como:</p>
<p><strong>“Merezco momentos de calma y bienestar.”</strong></p>
<h3>🌙 Experiencia emocional</h3>
<p>Dulce Cacao envuelve el ambiente con una energía cálida y reconfortante que invita a bajar el ritmo, disfrutar el presente y conectar con pequeños momentos de placer cotidiano. Una fragancia pensada para transformar tu hogar en un espacio más acogedor, suave y armonioso.</p>",Sagrada Madre,Home & Garden > Decor > Home Fragrances > Incense,Sahumerios,"Dulce Cacao, Perfum Premium, sagrada madre, sagradamadre",true,Title,Default Title,,,,,,,,'092343,0.0,shopify,80,deny,manual,4544,6990,true,true,,,,,'7798433092343,https://cdn.shopify.com/s/files/1/0752/3686/8396/files/SweetCacao3.png?v=1779911286,1,"",false,,,3686.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,1404,true,,,active
sahumerio-perfum-premium-dulce-cacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0752/3686/8396/files/SweetCacao3.jpg?v=1779823365,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sahumerio-perfum-premium-dulce-cacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0752/3686/8396/files/SweetCacao1.jpg?v=1779823365,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sahumerio-perfum-premium-dulce-cacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0752/3686/8396/files/SweetCacao2.jpg?v=1779823365,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sahumerio-perfum-premium-black-vainilla,Sahumerio Perfum Premium Black Vainilla,"<p>🌸✨ <strong>Sahumerio Perfum Premium Black Vainilla</strong> perfuma tus espacios con una fragancia intensa, cálida y profundamente envolvente. Su aroma elegante transforma cualquier momento cotidiano en un ritual de calma, sensualidad y conexión interior. 🕯️</p>

<p>
🫧 <strong>Aroma protagonista:</strong> Black Vainilla<br>
💛 <strong>Sensación:</strong> calidez, sofisticación y bienestar ✨
</p>

<p><strong>✅ Ideal para:</strong></p>

<p>
🏠 Crear ambientes acogedores y relajantes en el hogar<br>
🧘 Acompañar momentos de descanso, meditación o conexión personal<br>
📓 Potenciar rituales de journaling, lectura, autocuidado o introspección
</p>

<p>
🔥 <strong>Modo de uso (varillas):</strong><br>
Enciende la punta de la varilla, deja arder entre 5 y 10 segundos y luego apaga la llama. Colócala en un porta sahumerio y permite que la fragancia se expanda suavemente por el ambiente.
</p>

<p>
✨ <strong>Ritual rápido:</strong><br>
Enciéndelo, respira profundo 3 veces y repite una intención simple como:<br>
<em>“Merezco momentos de calma y bienestar”.</em>
</p>

<p>
<strong>Contenido:</strong> 8 varillas de 23 cm<br>
⏳ <strong>Duración aprox.:</strong> 1 hora
</p>

<p>
<strong>Composición:</strong><br>
Biomasa de frutas, aceite concentrado aromático, carbón vegetal, aglutinante natural y sal.
</p>

<p>
💛 <strong>Propiedades emocionales y energéticas:</strong>
</p>

<p>
✨ La vainilla es conocida por su capacidad para generar sensación de contención, relajación y placer emocional. Su aroma cálido ayuda a disminuir el estrés, aporta sensación de seguridad y favorece ambientes más armónicos y reconfortantes.
</p>

<p>
🌑 Black Vainilla combina notas dulces y profundas que evocan elegancia, introspección y conexión sensorial, ideal para crear espacios de calma y sofisticación.
</p>

<p>
<strong>Recomendación:</strong><br>
Uso diario para aromatizar, relajar y transformar la energía del ambiente.
</p>",Sagrada Madre,Home & Garden > Decor > Home Fragrances > Incense,Sahumerio,"Perfum Premium, sagrada madre, Sagrada_Madre, sagradamadre, SAHUMERIO, vainilla, vainillas",true,Title,Default Title,,,,,,,,'092442,0.0,shopify,83,deny,manual,4544,6990,true,true,,,,,'7798433092442,https://cdn.shopify.com/s/files/1/0752/3686/8396/files/perfum-BlackVanilla-VainillaNegra.jpg?v=1779639012,1,"",false,,,3686.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,1404,true,,,active
sahumerio-perfum-premium-black-vainilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0752/3686/8396/files/Perfum-VainillaNegra01.jpg?v=1779639012,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sahumerio-perfum-premium-black-vainilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0752/3686/8396/files/Perfum-VainillaNegra02.jpg?v=1779639012,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sahumerio-perfum-premium-black-vainilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0752/3686/8396/files/Perfum-VainillaNegra03.jpg?v=1779639012,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prueba,prueba,"",Sagrada Madre Chile,Uncategorized,"","",false,Title,Default Title,,,,,,,,'451451,0.0,shopify,16,deny,manual,130,200,true,true,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,draft
sahumador-hornillo-para-esencias-y-porta-incienso-sagrada-madre,Sahumador Hornillo para Esencias y Porta Incienso Sagrada Madre,"<h2>Sahumador Hornillo para Esencias y Porta Incienso de Cemento</h2>

<p>
El <strong>Sahumador Hornillo para Esencias y Porta Incienso</strong> es una pieza versátil y funcional diseñada para acompañar rituales de aromatización, limpieza energética y bienestar en el hogar.
</p>

<p>
Su diseño en <strong>cemento</strong> permite utilizarlo de tres formas: como <strong>hornillo para esencias</strong>, <strong>sahumador</strong> y <strong>porta sahumerio</strong>, convirtiéndolo en un accesorio práctico, decorativo y duradero.
</p>

<h3>Beneficios</h3>
<ul>
  <li>Producto 3 en 1: hornillo, sahumador y porta sahumerio.</li>
  <li>Ideal para aromatizar y armonizar espacios.</li>
  <li>Diseño minimalista y decorativo.</li>
  <li>Fabricado en cemento, resistente y estable.</li>
  <li>Perfecto para rituales, meditación, relajación o uso diario.</li>
</ul>

<h3>Modo de uso</h3>
<p>
Para utilizarlo como hornillo, coloca una vela de noche en la base y la esencia aromática en el recipiente superior. Como sahumador o porta sahumerio, ubica el producto correspondiente en la parte superior y enciende con cuidado.
</p>

<p>
Usar siempre sobre una superficie firme y resistente al calor. Mantener alejado de niños, mascotas, cortinas y materiales inflamables.
</p>

<h3>Medidas</h3>
<ul>
  <li>
<strong>Alto:</strong> 10,5 cm</li>
  <li>
<strong>Ancho:</strong> 10,5 cm</li>
</ul>

<h3>Composición</h3>
<ul>
  <li>
<strong>Material:</strong> Cemento</li>
</ul>

<p>
Una pieza simple, resistente y funcional para crear ambientes de calma, aroma y conexión.
</p>",Sagrada Madre,Home & Garden > Decor > Home Fragrance Accessories > Incense Holders,Sahumadores,"hornillo para esencia, porta incienso, portainciensos",true,Title,Default Title,,,,,,,,'235309,0.0,shopify,45,deny,manual,9744,14990,true,true,,,,,'7798348235309,https://cdn.shopify.com/s/files/1/0752/3686/8396/files/ChatGPTImage15may2026_03_02_18p.m..png?v=1778872478,1,"",false,,,4741.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,4840,true,,,active
